CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8
32812;46680;4380;61832;9408;0;0;0
33164;58372;6089;65524;65436;0;0;0
32672;53604;4601;63632;42017;0;0;0
32554;60768;6310;62745;55088;0;0;0
32800;58528;6450;63968;60200;0;0;0
32548;59584;19;60492;42690;0;0;0
32732;37148;11;33844;7620;0;0;0
32841;33852;10;19238;6160;0;0;0
32494;29504;2669;14;11;0;0;0
32986;43600;1334;54428;9045;0;0;0
32736;32548;11;8303;3737;0;0;0
32826;58126;8422;62808;62332;0;0;0
32728;57960;3489;64792;51410;0;0;0
33137;44789;12;54488;8878;0;0;0
32932;35250;11;12356;5670;0;0;0
32890;65524;19177;64296;53746;0;0;0
32718;34816;13;24438;8294;0;0;0
32834;65520;20620;60682;45506;0;0;0
32552;24800;15;6350;4155;0;0;0
32648;18116;14;5386;1786;0;0;0
33008;34208;15;30816;8549;0;0;0
32726;41562;6233;59002;13974;0;0;0
32720;22537;11;4314;11;0;0;0
32916;37366;23;43912;49276;0;0;0
32722;37988;18;46432;9629;0;0;0
32748;25072;17;3730;1623;0;0;0
32808;45632;15;30024;6788;0;0;0
32652;59024;3157;64584;41580;0;0;0
32900;7759;16;14;16;0;0;0
32732;13743;15;2970;10;0;0;0
32898;63906;19278;65535;48134;0;0;0
32528;28452;5853;10093;7999;0;0;0
32702;21029;15;3595;1861;0;0;0
32523;33260;474;15046;7812;0;0;0
32790;8990;13;4897;12;0;0;0
32700;64012;43420;65140;60744;0;0;0
32672;21730;16;8327;3152;0;0;0
32096;24642;2904;8434;3890;0;0;0
32891;22936;25;3754;927;0;0;0
32964;17736;19;3690;1215;0;0;0
32517;28453;25;8078;5428;0;0;0
32318;65492;31992;65510;51922;0;0;0
32522;25790;1993;11694;6877;0;0;0
32780;14059;17;1616;12;0;0;0
32829;21806;30;16;6234;0;0;0
33158;15901;29;14;17;0;0;0
32453;15923;3127;10;12;0;0;0
32505;29764;19;41452;9002;0;0;0
32964;35976;16542;50020;28672;0;0;0
32700;23376;11655;8404;5154;0;0;0
32796;15716;11657;3862;1090;0;0;0
32780;12638;4255;11;18;0;0;0
32730;62560;27484;52364;46222;0;0;0
32894;62748;16231;51208;44400;0;0;0
32632;14486;8747;11;16;0;0;0
32814;13279;22089;1907;11;0;0;0
32696;23246;24408;12;17;0;0;0
32424;24736;28984;4685;38780;0;0;0
32964;24656;36304;15;722;0;0;0
32864;27057;26888;14;6789;0;0;0
32788;52432;50532;21102;52280;0;0;0
32946;37584;49660;8232;51144;0;0;0
32861;40196;49942;11324;50248;0;0;0
32750;51346;24508;4146;136;0;0;0
29645;43311;27195;31916;32139;0;0;0
32257;45058;36406;28642;65533;0;0;0
32120;32594;39036;33042;33145;0;0;0
32744;31438;28467;28666;38170;0;0;0
32437;36680;49778;18808;33094;0;0;0
32714;50353;55804;10809;47686;0;0;0
32861;53734;37394;14551;52777;0;0;0
32622;63189;18702;18906;47785;0;0;0
32916;12226;61152;44310;3022;0;0;0
33289;63810;35026;10877;56303;0;0;0
32736;49844;55500;40320;54034;0;0;0
32249;37056;51814;16535;50222;0;0;0
32680;55636;53292;10129;54322;0;0;0
32356;54760;53097;13153;53123;0;0;0
32758;51842;49897;15601;51559;0;0;0
34039;28320;29220;25798;65520;0;0;0
27076;16982;47830;9506;48728;0;0;0
32546;54173;59898;9494;40532;0;0;0
33144;65526;63711;5187;52683;0;0;0
41362;20438;65508;20245;11560;0;0;0
32622;63356;63016;53914;30318;0;0;0
32905;64274;63637;7561;41092;0;0;0
34414;61474;64078;4986;56100;0;0;0
27620;62688;61944;6638;46924;0;0;0
33036;61740;62646;5459;46124;0;0;0
31344;55056;65516;16037;22144;0;0;0
32676;24556;61976;37308;11;0;0;0
32744;31957;16;33932;22612;0;0;0
33208;13796;65488;56600;17;0;0;0
27984;17597;57708;2908;35350;0;0;0
32590;10034;15456;20380;31012;0;0;0
32928;11286;65152;6975;36078;0;0;0
33128;6601;36032;10518;16416;0;0;0
32772;8703;45016;9592;21342;0;0;0
33024;8021;48932;8292;31152;0;0;0
32780;8930;25380;20392;25469;0;0;0
32638;6502;30124;8700;48927;0;0;0
01.06.2023 13:09:35
32325;32230;65532;10;64442;0;0;0
33164;6609;5848;4921;56565;0;0;0
32484;26868;63159;19;58178;0;0;0
33138;21125;14155;20866;65535;0;0;0
33514;9015;14473;12;58885;0;0;0
32524;22202;3250;43910;28359;0;0;0
32890;19766;6639;33608;65513;0;0;0
33410;20014;12399;13;65508;0;0;0
33330;33018;29936;28056;65520;0;0;0
33230;12822;12198;46332;47240;0;0;0
33636;30295;16740;42946;65500;0;0;0
32848;30536;22913;33824;65530;0;0;0
33390;14463;19324;25921;39930;0;0;0
31764;25182;10;49520;21656;0;0;0
31877;20290;11217;28820;46024;0;0;0
31138;19739;12;54744;17645;0;0;0
32165;22935;16189;30618;43007;0;0;0
32448;22902;11;56604;13810;0;0;0
32545;27630;7637;44328;22405;0;0;0
34744;31376;30362;35712;65508;0;0;0
32442;31049;8468;47664;3799;0;0;0
31432;30484;14220;45072;40624;0;0;0
32884;26406;5533;56696;12340;0;0;0
34654;32706;11900;49602;15498;0;0;0
33359;31525;9688;52082;18190;0;0;0
32366;35378;11405;52414;19704;0;0;0
34408;31040;3935;50322;17230;0;0;0
32876;29858;19313;44484;21794;0;0;0
32951;30797;25283;45113;19305;0;0;0
32810;40764;24222;51110;3818;0;0;0
33303;33473;13371;47687;16796;0;0;0
32156;43300;38508;22062;20430;0;0;0
32785;42748;30327;43180;5319;0;0;0
33154;31179;35064;44911;19584;0;0;0
32964;30502;1335;42048;23618;0;0;0
32139;34535;12888;58375;16802;0;0;0
33093;33613;26860;41354;14479;0;0;0
33637;37668;42824;48333;12743;0;0;0
32770;32590;14445;53452;17360;0;0;0
33385;36468;9891;55897;12474;0;0;0
32942;43512;31590;40815;10;0;0;0
34197;41337;16512;45058;11144;0;0;0
33244;36900;27736;50007;9999;0;0;0
36362;33468;11544;56600;11805;0;0;0
33191;28552;36629;43261;6771;0;0;0
35312;32193;36719;31951;32602;0;0;0
32413;12724;32034;0;65508;0;0;0
31562;36409;34078;32718;50406;0;0;0
33111;33238;16573;48775;27731;0;0;0
33068;33104;32343;32784;32815;0;0;0
33280;37348;32433;13274;19308;0;0;0
30641;39386;32736;29859;2991;0;0;0
32300;39366;32538;17750;32393;0;0;0
33493;27080;32914;33082;32761;0;0;0
35521;32878;32927;3;51532;0;0;0
32746;64047;33060;22695;33255;0;0;0
34222;50183;32616;25159;23842;0;0;0
33206;65530;32799;25052;31762;0;0;0
33477;65527;32535;19028;31383;0;0;0
32716;63820;32356;59728;25376;0;0;0
32732;65492;32756;11956;20873;0;0;0
32529;61952;32846;59880;23720;0;0;0
32744;48584;33104;64668;30520;0;0;0
32725;17144;33426;65524;23230;0;0;0
32452;17652;33750;51764;8283;0;0;0
34370;16413;32742;52337;7151;0;0;0
33956;14118;32294;65518;23545;0;0;0
32888;13170;32856;5107;31186;0;0;0
32528;15752;32384;53657;2913;0;0;0
30011;15806;32726;47212;9816;0;0;0
33236;14218;32620;52743;4916;0;0;0
33241;12768;32762;61068;11;0;0;0
33806;10216;33276;48248;17715;0;0;0
32660;7564;32164;9;32876;0;0;0
32012;11175;33305;52253;3907;0;0;0
35200;7595;32873;9351;13773;0;0;0
33302;10298;32816;62468;9;0;0;0
31916;8009;32044;7;18496;0;0;0
32948;3729;32454;6561;35636;0;0;0
31290;7553;32794;55016;11;0;0;0
33245;4635;32578;62142;10;0;0;0
32696;4083;32410;50140;8969;0;0;0
33205;1446;32245;12443;37046;0;0;0
31884;12301;32266;49248;5271;0;0;0
32364;5954;31984;58250;27628;0;0;0
32864;4920;32784;7957;38400;0;0;0
32251;7211;32693;3566;50064;0;0;0
32594;9892;32945;15;60504;0;0;0
32820;7701;32135;53508;18275;0;0;0
32520;2833;33152;36160;45924;0;0;0
32360;13759;32698;9809;43829;0;0;0
33368;12129;33134;21;54260;0;0;0
31404;27852;32926;1878;62458;0;0;0
32528;19364;32616;42;44618;0;0;0
32804;16489;32701;3883;49708;0;0;0
33284;18348;32368;60392;16203;0;0;0
33501;22893;33092;57396;34676;0;0;0
31884;17874;33030;10;52122;0;0;0
34392;28614;33397;60738;21650;0;0;0
31738;28439;33387;57570;24947;0;0;0
32162;26488;33371;56470;38392;0;0;0
32660;27878;33304;65505;39802;0;0;0
33122;29584;33068;10;49630;0;0;0
32460;29809;33226;10;52258;0;0;0
32132;32940;32418;39254;50780;0;0;0
32634;34762;32760;48409;55524;0;0;0
32958;32228;32790;55643;45771;0;0;0
33124;35044;32930;1426;51045;0;0;0
32488;32480;32185;9;53088;0;0;0
32590;35482;32960;11;58448;0;0;0
33386;34356;32064;17;59360;0;0;0
32546;37304;33064;30704;58960;0;0;0
32827;52222;32292;47822;53680;0;0;0
33861;55079;32588;11758;46460;0;0;0
32534;53404;32472;44192;38441;0;0;0
32928;34591;32901;9;56671;0;0;0
32840;35074;33156;4152;57164;0;0;0
33964;57476;32686;9195;42202;0;0;0
32060;56644;32249;36636;42562;0;0;0
30698;60788;32841;9;48256;0;0;0
33538;32596;32742;16;60144;0;0;0
32732;53860;32790;49353;48319;0;0;0
33368;46223;32542;46096;44632;0;0;0
32374;60434;33146;52167;39282;0;0;0
31679;42409;32501;50238;44336;0;0;0
32888;55896;32268;52188;39828;0;0;0
31570;65522;32092;10;41590;0;0;0
32072;62130;32336;54190;33916;0;0;0
33212;65512;32590;39;29969;0;0;0
33196;45918;33313;56484;38006;0;0;0
32978;65516;33084;35684;28808;0;0;0
34257;65500;32986;27260;26541;0;0;0
33040;65501;32324;50336;24770;0;0;0
33346;37788;32332;48736;13234;0;0;0
31344;65524;32912;65524;33569;0;0;0
32692;65516;32824;63652;33106;0;0;0
32608;43512;32196;46404;14052;0;0;0
33124;26416;33458;53074;11276;0;0;0
32452;65504;31983;65518;31256;0;0;0
32608;65504;32644;64394;33669;0;0;0
32748;19247;32460;50555;10405;0;0;0
33186;44781;33042;65508;27120;0;0;0
32720;19437;33564;44715;15942;0;0;0
33920;32512;33348;45868;18336;0;0;0
32668;20891;32806;58612;2131;0;0;0
32573;12569;32539;13726;25277;0;0;0
32230;16675;32752;60129;8948;0;0;0
33319;15677;33386;8863;26343;0;0;0
32188;15749;33748;11616;24276;0;0;0
32560;17244;33540;59783;10;0;0;0
35051;13773;32932;62436;10;0;0;0
31456;12327;33362;60984;18429;0;0;0
33700;10938;33631;11060;19062;0;0;0
33858;14355;33338;65524;9;0;0;0
34024;10024;33034;4909;8021;0;0;0
33468;10315;32405;61570;11;0;0;0
32220;8210;32664;3879;12345;0;0;0
34590;6242;33000;13;29672;0;0;0
32868;9027;33346;65526;11;0;0;0
30990;6305;32528;2037;10733;0;0;0
29161;1811;32745;5063;29012;0;0;0
30682;6543;31992;64216;26;0;0;0
32715;5143;32160;12;40788;0;0;0
32607;3213;32344;61800;11;0;0;0
32944;3291;33150;9027;26134;0;0;0
33125;611;33333;8;53193;0;0;0
33924;2632;33306;45984;32704;0;0;0
33022;7189;32728;6569;35860;0;0;0
34779;7570;32502;59096;10097;0;0;0
33665;7610;33006;18;51876;0;0;0
34108;3239;32624;45576;20736;0;0;0
32988;9875;32142;40046;45344;0;0;0
33097;11718;33097;36408;48117;0;0;0
32925;14845;32812;64417;22042;0;0;0
32818;12998;32363;9;47438;0;0;0
32644;22591;32556;56888;29106;0;0;0
32456;23578;33046;12;52132;0;0;0
32942;14964;32224;9;47152;0;0;0
33058;27842;32869;59642;31842;0;0;0
32872;27166;33431;57404;36375;0;0;0
33068;28114;32408;514;49402;0;0;0
33174;31058;33180;57912;53648;0;0;0
32864;30474;32315;39175;52396;0;0;0
33208;39776;33423;57974;43168;0;0;0
32505;31076;32372;10;56956;0;0;0
33280;35574;32356;39002;62006;0;0;0
32812;41215;33317;61701;26495;0;0;0
34287;51146;32573;8370;60329;0;0;0
33677;33012;33362;58736;47033;0;0;0
33064;50754;32352;9;65524;0;0;0
32700;46312;33192;34932;54505;0;0;0
32672;47326;32241;61124;37112;0;0;0
32298;50372;33026;62530;35243;0;0;0
32937;35903;33175;12;58796;0;0;0
31290;36410;32892;45922;60164;0;0;0
33698;56886;32018;10;64128;0;0;0
32778;41960;32018;57024;38362;0;0;0
32672;45192;32428;49740;56884;0;0;0
32764;39282;33284;46044;57590;0;0;0
31488;49628;33204;49589;50230;0;0;0
33104;65520;32522;13;52876;0;0;0
32373;60442;32809;44948;35566;0;0;0
33060;60792;32043;10;45322;0;0;0
33466;42653;32339;51608;54224;0;0;0
31989;58128;32202;53704;46608;0;0;0
33880;61828;32058;20;51952;0;0;0
33054;63012;33146;3578;50021;0;0;0
33120;65520;32946;44008;19506;0;0;0
33204;59940;33114;61528;35902;0;0;0
32088;65508;32840;9390;15962;0;0;0
33178;65514;33116;28840;17748;0;0;0
33566;65527;32591;49116;15003;0;0;0
33078;64132;33323;57597;32429;0;0;0
32694;62537;32785;63596;30023;0;0;0
32420;65506;31900;8357;15593;0;0;0
33234;65512;32937;48804;14035;0;0;0
33354;62646;32866;60248;32922;0;0;0
32851;65535;32042;62688;29103;0;0;0
32757;65516;32022;31726;16643;0;0;0
33661;20964;32613;52359;10247;0;0;0
35802;65520;32687;1118;32004;0;0;0
31906;59328;32484;55048;9779;0;0;0
32787;41710;32340;48362;13428;0;0;0
32076;64242;32876;62628;8652;0;0;0
32976;65526;32300;65528;29388;0;0;0
32558;19900;32924;53449;10877;0;0;0
33017;19698;33218;60236;2147;0;0;0
32989;18806;32813;54552;5702;0;0;0
32824;17562;33254;37856;11718;0;0;0
32802;17392;32613;55184;4513;0;0;0
32624;16171;33437;57387;2652;0;0;0
34072;15685;32386;4467;5834;0;0;0
32260;57008;32592;62884;27852;0;0;0
35184;44414;33583;58530;28327;0;0;0
34510;4296;32450;13697;22392;0;0;0
32287;27746;33170;65535;50916;0;0;0
31844;15513;32314;33854;30783;0;0;0
35446;61040;33028;13752;32106;0;0;0
39752;32744;32313;65520;33728;0;0;0
34046;1989;33402;16329;6122;0;0;0
26832;22173;32560;29266;32716;0;0;0
30404;26832;32399;52608;11059;0;0;0
30971;16611;33004;65524;9;0;0;0
32046;3633;32698;10347;23015;0;0;0
33592;18764;33290;32962;32906;0;0;0
32188;32598;32871;1562;31991;0;0;0
35596;13112;32598;21;35202;0;0;0
28724;6818;32574;7044;22724;0;0;0
33268;2050;32633;5353;51236;0;0;0
34256;1731;32758;646;47249;0;0;0
34287;13;33032;11382;35433;0;0;0
38120;65496;26404;43392;65504;0;0;0
36328;13784;11610;59880;59442;0;0;0
32483;13634;11359;60422;59772;0;0;0
28382;13100;10686;60832;61518;0;0;0
32340;12946;10328;62524;60263;0;0;0
33176;12288;9504;63120;61320;0;0;0
31656;11649;8968;63930;62228;0;0;0
32972;11042;8309;65516;63060;0;0;0
33803;10130;7278;65524;63790;0;0;0
31320;9090;5880;65516;65522;0;0;0
36571;7886;4098;17710;59264;0;0;0
32460;5275;14;15207;14070;0;0;0
32816;4550;14;18204;13404;0;0;0
32352;4032;14;53868;20364;0;0;0
32276;4797;14;55152;65508;0;0;0
32330;4722;13;55892;65528;0;0;0
33616;3075;13;56826;65520;0;0;0
35278;13;13;58362;8344;0;0;0
32581;1082;12;59876;24500;0;0;0
32440;11;12;59938;65512;0;0;0
32240;12;10;60846;65504;0;0;0
35186;9;8;61904;57536;0;0;0
33312;11;12;63356;35136;0;0;0
33542;11;20;64002;21203;0;0;0
33584;8;39;65520;20584;0;0;0
32616;8;51;65512;20449;0;0;0
33464;9;22100;65504;19249;0;0;0
31258;8;42592;65518;18672;0;0;0
31342;9;42432;65532;19840;0;0;0
31828;21;42982;65516;17772;0;0;0
32890;37;42884;65508;18600;0;0;0
32903;3407;43620;65508;17784;0;0;0
33152;40146;43964;65518;16844;0;0;0
31246;23882;43661;65512;17508;0;0;0
32250;42430;46488;65512;11714;0;0;0
32956;42828;46928;65504;11542;0;0;0
34330;44176;48266;65501;5290;0;0;0
30459;45448;48452;65496;12;0;0;0
33418;47040;49128;65476;25;0;0;0
32860;47848;49494;51764;41;0;0;0
32370;48349;50860;43544;14026;0;0;0
33016;49541;51202;23676;42628;0;0;0
33781;51140;55424;22742;44292;0;0;0
33058;43938;47660;23542;11485;0;0;0
33605;44757;49516;23251;8287;0;0;0
33602;45400;50148;22754;6532;0;0;0
33732;45696;50306;22633;6995;0;0;0
33178;54396;55357;65510;47904;0;0;0
32156;65508;65520;9;51172;0;0;0
32068;56153;56472;65522;47140;0;0;0
31306;58565;59851;65526;48508;0;0;0
33672;61348;65514;13;53304;0;0;0
32428;51776;65488;11;54037;0;0;0
32730;43690;23106;11;54952;0;0;0
32459;22089;23745;10;55986;0;0;0
32954;21484;22038;34528;57472;0;0;0
32832;21116;21842;9;58132;0;0;0
32724;65496;20896;4886;59676;0;0;0
32281;20948;21127;5786;60370;0;0;0
32760;20084;20058;5;62260;0;0;0
33548;19381;20376;13;63806;0;0;0
33872;18634;19885;31;65520;0;0;0
31730;17976;18912;31632;65516;0;0;0
33220;17291;17933;19473;65512;0;0;0
33112;16526;17447;43384;65522;0;0;0
31626;15704;16158;44494;65520;0;0;0
34554;12529;15036;45785;65508;0;0;0
37449;11571;13896;47068;65500;0;0;0
30145;10353;12885;47590;59904;0;0;0
32788;8868;11886;48124;37420;0;0;0
31497;8164;11073;49001;21380;0;0;0
29883;7155;10436;49584;20997;0;0;0
32523;5950;9458;50557;20369;0;0;0
32341;4849;8584;51406;19991;0;0;0
34964;3833;7700;51596;19511;0;0;0
33014;2596;6677;51922;18841;0;0;0
32808;12;4970;53590;18217;0;0;0
32811;11;4267;54284;17824;0;0;0
30742;12;3165;55151;17216;0;0;0
32644;12;1803;55584;16554;0;0;0
29574;12;11;57501;15939;0;0;0
36920;14;11;57441;15020;0;0;0
31400;12;14;58680;14014;0;0;0
30694;16;15;61528;13066;0;0;0
31802;7002;13;52180;15400;0;0;0
33478;12;16;11165;11569;0;0;0
33990;5668;13;54092;65524;0;0;0
32558;3342;14;56088;65516;0;0;0
34556;2156;12;57232;65522;0;0;0
31406;12;12;58200;65511;0;0;0
30236;13;12;59202;21700;0;0;0
31368;11;11;61196;20846;0;0;0
33518;10;10;61892;20226;0;0;0
32278;10;18;62654;19382;0;0;0
32972;10;28;63342;19047;0;0;0
33048;10;456;65510;18128;0;0;0
32712;9;16824;65516;17788;0;0;0
32738;10;43412;65530;17316;0;0;0
32290;10;43744;65524;16599;0;0;0
32894;20;44437;65518;15361;0;0;0
33376;36;44756;65516;15344;0;0;0
32832;2154;45312;65520;14416;0;0;0
32566;14036;45556;65500;13752;0;0;0
32757;32994;45632;65506;13436;0;0;0
32912;42236;45796;65516;12496;0;0;0
32844;42864;46570;65508;11876;0;0;0
32628;43296;47280;65516;10196;0;0;0
33307;43854;47668;65492;9189;0;0;0
32806;42556;45824;61066;14432;0;0;0
31728;51804;59760;54522;44636;0;0;0
33676;56064;65522;10;46912;0;0;0
31760;57350;65520;20376;47164;0;0;0
32844;59568;65496;33844;48208;0;0;0
33736;63522;65492;13;49232;0;0;0
32418;65512;61124;12137;49672;0;0;0
32384;65512;55568;16948;50368;0;0;0
32519;62444;65504;33733;50360;0;0;0
33240;60724;65524;65520;50872;0;0;0
32672;60292;65528;21720;50011;0;0;0
33105;62828;65500;54916;52168;0;0;0
33129;65504;39264;43280;53069;0;0;0
32596;65527;23092;54560;54286;0;0;0
32610;65510;22948;57616;54716;0;0;0
31764;65524;22587;24950;55210;0;0;0
34142;62125;65524;20836;49380;0;0;0
32197;53252;60231;16386;11;0;0;0
32570;65516;62700;16523;53460;0;0;0
33012;65524;20642;17298;57028;0;0;0
33168;65530;20024;17059;56485;0;0;0
32560;65524;19683;15378;58375;0;0;0
31037;65524;19290;15612;58618;0;0;0
32852;65522;18782;14638;60214;0;0;0
32457;65504;18052;14263;61547;0;0;0
01.06.2023 13:20:02
32886;65512;15886;12;52024;0;0;0
32686;65488;15031;16;53108;0;0;0
33974;60264;14508;19;53832;0;0;0
27424;48300;13627;33;54612;0;0;0
32600;38109;12921;1333;55156;0;0;0
32932;15299;12187;16197;55872;0;0;0
32494;14898;11696;44548;56628;0;0;0
32628;14244;10988;48523;57170;0;0;0
32804;13590;10193;49034;58285;0;0;0
31098;13041;9696;49560;59124;0;0;0
33208;12240;8728;50006;60234;0;0;0
32859;11487;7965;50528;61018;0;0;0
32580;10702;6965;51178;62024;0;0;0
32504;9963;6098;52032;63368;0;0;0
32835;9028;4896;52313;65496;0;0;0
32800;7738;3389;53378;65520;0;0;0
32830;6733;2239;54576;65524;0;0;0
32361;5522;1105;54804;65522;0;0;0
32798;3596;12;56839;65527;0;0;0
32746;2232;14;57988;65522;0;0;0
34137;13;13;59470;65520;0;0;0
36440;12;12;60704;65520;0;0;0
31142;9;9;62766;65530;0;0;0
26964;10;8;63808;65510;0;0;0
32428;10;8;65516;61536;0;0;0
32524;10;15;65512;36512;0;0;0
33265;8;36;65513;23160;0;0;0
32741;7;6651;65512;22685;0;0;0
34728;9;36753;65500;22220;0;0;0
33320;19;42284;65515;21904;0;0;0
33260;49;42596;65512;21344;0;0;0
32581;11402;42812;65500;20922;0;0;0
33210;40489;43231;65508;20024;0;0;0
34972;40904;43348;65496;20404;0;0;0
27824;41179;43892;63780;19800;0;0;0
30752;41644;44462;46156;19082;0;0;0
32605;42109;45003;24182;18504;0;0;0
32494;42680;45780;23818;17698;0;0;0
33669;42704;46444;23492;16990;0;0;0
31880;43648;47015;22743;16268;0;0;0
31534;44178;47526;22420;15228;0;0;0
33157;44232;48233;21813;14592;0;0;0
32628;45205;49176;21352;13286;0;0;0
33146;45514;49876;20938;12671;0;0;0
31393;46244;50428;20246;11995;0;0;0
30868;46502;51282;19915;10813;0;0;0
32420;47502;52064;19173;10113;0;0;0
29744;48274;53050;18103;9271;0;0;0
33218;48678;53917;18076;7456;0;0;0
33919;49736;54838;17056;6074;0;0;0
32846;50359;55925;16353;4852;0;0;0
33166;51384;57224;15625;3429;0;0;0
32530;52546;58537;14149;2147;0;0;0
32201;54268;60370;12902;10;0;0;0
32893;55596;62420;11683;11;0;0;0
33146;56258;63672;10144;11;0;0;0
02.06.2023 11:23:01
21785;12;10;9;65528;0;0;0
21788;12;11;10;65526;0;0;0
21786;1495;11;10;64225;0;0;0
21788;2371;11;10;62172;0;0;0
21783;3316;10;10;61256;0;0;0
21790;4342;11;10;60344;0;0;0
21788;5484;10;10;59436;0;0;0
21785;6640;1252;10;58528;0;0;0
21790;7500;2124;10;57512;0;0;0
21789;8180;3002;1426;56540;0;0;0
21788;9096;4143;2509;55984;0;0;0
21788;10110;5415;3936;54976;0;0;0
21788;11276;6692;5230;37341;0;0;0
21785;12203;7880;6518;16326;0;0;0
21786;12861;8733;7345;6470;0;0;0
21786;13588;9580;8397;1360;0;0;0
21788;14289;10492;9196;29;0;0;0
